date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Oct%202023%2017:23:55%20GMT	https://www.devopseasylearning.com/registration	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/registration.0.delayed	(from )
20:23:56	126/126	---MCZ	200	added ('OK')	text/plain	date:Fri,%2006%20Oct%202023%2017:23:56%20GMT	https://www.devopseasylearning.com/robots.txt		(from )
20:23:58	167008/167008	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202023%2017:23:56%20GMT	https://www.devopseasylearning.com/registration/	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/registration/index.html	(from )
20:23:58	5163/5163	---MCZ	200	added ('OK')	text/css	etag:W/%22650a7589-142b%22	https://www.devopseasylearning.com/wp-content/plugins/memberpress/css/ui/theme.css?ver=1.11.18	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/memberpress/css/ui/theme1075.css	(from https://www.devopseasylearning.com/registration/)
20:23:58	40618/40618	---MCZ	200	added ('OK')	text/css	etag:W/%2263dc07c4-9eaa%22	https://www.devopseasylearning.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.0.2	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/themes/astra/assets/css/minified/main.min05da.css	(from https://www.devopseasylearning.com/registration/)
20:23:58	2148/2148	---MC-	200	added ('OK')	application/rss+xml	etag:%220641f557c514909280942fe6e6210e11%22	https://www.devopseasylearning.com/feed/	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/feed/index.html	(from https://www.devopseasylearning.com/registration/)
20:23:59	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22634e67c4-e688%22	https://www.devopseasylearning.com/wp-includes/css/dashicons.min.css?ver=6.3.1	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-includes/css/dashicons.min9b30.css	(from https://www.devopseasylearning.com/registration/)
20:23:59	1147/1147	---MC-	200	added ('OK')	application/rss+xml	etag:%220641f557c514909280942fe6e6210e11%22	https://www.devopseasylearning.com/comments/feed/	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/comments/feed/index.html	(from https://www.devopseasylearning.com/registration/)
20:23:59	815/815	---MCZ	200	added ('OK')	text/css	etag:W/%22646fa407-32f%22	https://www.devopseasylearning.com/wp-content/plugins/menu-icons/css/extra.min.css?ver=0.13.5	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/menu-icons/css/extra.min1bd9.css	(from https://www.devopseasylearning.com/registration/)
20:23:59	104484/104484	---MCZ	200	added ('OK')	text/css	etag:W/%2264d315ab-19824%22	https://www.devopseasylearning.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-includes/css/dist/block-library/style.min9b30.css	(from https://www.devopseasylearning.com/registration/)
20:23:59	30211/30211	---MCZ	200	added ('OK')	text/css	etag:W/%22646fa3b2-7603%22	https://www.devopseasylearning.com/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.build.css?ver=1685038002	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.buildb516.css	(from https://www.devopseasylearning.com/registration/)
20:24:00	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Oct%202023%2017:23:59%20GMT	http://www.devopseasylearning.com/wp-content/plugins/sfwd-lms/themes/legacy/templates/learndash_quiz_front.min.css?ver=4.5.3.2	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/sfwd-lms/themes/legacy/templates/learndash_quiz_front.min.8aaf6.delayed	(from https://www.devopseasylearning.com/registration/)
20:24:00	42448/42448	---MCZ	200	added ('OK')	text/css	etag:W/%22646fa421-a5d0%22	https://www.devopseasylearning.com/wp-content/plugins/wp-whatsapp/assets/dist/css/style.css?ver=6.3.1	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/wp-whatsapp/assets/dist/css/style9b30.css	(from https://www.devopseasylearning.com/registration/)
20:24:00	12088/12088	---MCZ	200	added ('OK')	text/css	etag:W/%22646fa3e1-2f38%22	https://www.devopseasylearning.com/wp-content/plugins/sfwd-lms/themes/legacy/templates/learndash_quiz_front.min.css?ver=4.5.3.2	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/sfwd-lms/themes/legacy/templates/learndash_quiz_front.minaaf6.css	(from https://www.devopseasylearning.com/registration/)
20:24:00	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Oct%202023%2017:24:00%20GMT	http://www.devopseasylearning.com/wp-content/plugins/sfwd-lms/themes/ld30/assets/css/learndash.min.css?ver=4.5.3.2	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/sfwd-lms/themes/ld30/assets/css/learndash.minaaf6.css	(from https://www.devopseasylearning.com/registration/)
20:24:01	169537/169537	---MCZ	200	added ('OK')	text/css	etag:W/%22646fa3e1-29641%22	https://www.devopseasylearning.com/wp-content/plugins/sfwd-lms/themes/ld30/assets/css/learndash.min.css?ver=4.5.3.2	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/sfwd-lms/themes/ld30/assets/css/learndash.minaaf6.css	(from https://www.devopseasylearning.com/registration/)
20:24:01	190000/190000	---MCZ	200	added ('OK')	text/css	etag:W/%22635108ca-2e630%22	https://www.devopseasylearning.com/wp-content/plugins/design-upgrade-learndash/assets/css/ld3.css?ver=2.12	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/design-upgrade-learndash/assets/css/ld32905.css	(from https://www.devopseasylearning.com/registration/)
20:24:01	34024/34024	---MCZ	200	added ('OK')	text/css	etag:W/%22646fa3b1-84e8%22	https://www.devopseasylearning.com/wp-content/plugins/embedpress/assets/css/embedpress.css?ver=6.3.1	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/embedpress/assets/css/embedpress9b30.css	(from https://www.devopseasylearning.com/registration/)
20:24:01	6558/6558	---MCZ	200	added ('OK')	text/css	etag:W/%2263c79fce-199e%22	https://www.devopseasylearning.com/wp-content/plugins/juvo-session-manager-premium/public/css/juvo-session-manager-public.css?ver=1.2.0	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/juvo-session-manager-premium/public/css/juvo-session-manager-public7359.css	(from https://www.devopseasylearning.com/registration/)
20:24:02	39820/39820	---MCZ	200	added ('OK')	text/css	etag:W/%22634e67c7-9b8c%22	https://www.devopseasylearning.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8.1	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/revslider/public/assets/css/settings84f5.css	(from https://www.devopseasylearning.com/registration/)
20:24:02	933/933	---MCZ	200	added ('OK')	text/css	etag:W/%226352ed12-3a5%22	https://www.devopseasylearning.com/wp-content/plugins/wp-events-manager/inc/libraries//countdown/css/jquery.countdown.css?ver=6.3.1	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/wp-events-manager/inc/libraries/countdown/css/jquery.countdown9b30.css	(from https://www.devopseasylearning.com/registration/)
20:24:02	1544/1544	---MCZ	200	added ('OK')	text/css	etag:W/%226352ed12-608%22	https://www.devopseasylearning.com/wp-content/plugins/wp-events-manager/inc/libraries//owl-carousel/css/owl.carousel.css?ver=6.3.1	C:/Users/Zabbix/Desktop/easy/easy/www.devopseasylearning.com/wp-content/plugins/wp-events-manager/inc/libraries/owl-carousel/css/owl.carousel9b30.css	(from https://www.devopseasylearning.com/registration/)
